date,infected,dead,recovered,inactive,active,new,new_deaths,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
2020-08-16,56684,1877,39130,41007,15677,594.0,8.0,732.3333333333335,699.0,699.2857142857142,10.0,10.428571428571429,10.469387755102042
2020-08-17,57279,1885,39359,41244,16035,595.0,8.0,653.3333333333334,695.5714285714287,700.7142857142858,10.857142857142858,10.928571428571427,10.448979591836736
2020-08-18,57876,1896,39643,41539,16337,597.0,11.0,595.3333333333334,702.1428571428571,694.7857142857142,10.714285714285714,11.285714285714285,10.285714285714286
2020-08-19,58611,1913,40099,42012,16599,735.0,17.0,642.3333333333334,705.0,701.5714285714287,11.857142857142858,11.214285714285712,10.469387755102042
2020-08-20,59378,1925,40481,42406,16972,767.0,12.0,699.6666666666665,698.7142857142858,704.5,11.714285714285715,10.785714285714288,10.734693877551024
2020-08-21,60281,1938,41029,42967,17314,903.0,13.0,801.6666666666665,708.8571428571429,711.2142857142858,11.428571428571427,10.785714285714288,10.918367346938776
2020-08-22,61181,1951,41661,43612,17569,900.0,13.0,856.6666666666665,727.2857142857142,715.2857142857142,11.714285714285715,10.785714285714288,11.183673469387756
2020-08-23,61762,1955,42183,44138,17624,581.0,4.0,794.6666666666665,725.4285714285713,712.2142857142858,11.142857142857142,10.571428571428571,11.346938775510207
2020-08-24,62310,1960,42448,44408,17902,548.0,5.0,676.3333333333334,718.7142857142858,707.1428571428571,10.714285714285714,10.785714285714288,11.326530612244895
2020-08-25,63073,1977,42784,44761,18312,763.0,17.0,630.6666666666666,742.4285714285713,722.2857142857142,11.571428571428573,11.142857142857142,11.448979591836734
2020-08-26,63802,1994,43399,45393,18409,729.0,17.0,680.0,741.5714285714287,723.2857142857142,11.571428571428573,11.714285714285715,11.40816326530612
2020-08-27,64689,2009,44097,46106,18583,887.0,15.0,793.0,758.7142857142858,728.7142857142858,12.0,11.857142857142858,11.448979591836734
2020-08-28,65480,2018,44785,46803,18677,791.0,9.0,802.3333333333335,742.7142857142858,725.7857142857142,11.428571428571427,11.428571428571427,11.448979591836734
2020-08-29,66239,2032,45536,47568,18671,759.0,14.0,812.3333333333335,722.5714285714287,724.9285714285713,11.571428571428573,11.642857142857142,11.428571428571427
2020-08-30,66870,2033,46192,48225,18645,631.0,1.0,727.0,729.7142857142858,727.5714285714287,11.142857142857142,11.142857142857142,11.428571428571427
2020-08-31,67372,2039,46638,48677,18695,502.0,6.0,630.6666666666666,723.1428571428571,720.9285714285713,11.285714285714285,11.0,11.510204081632654
2020-09-01,67922,2058,47030,49088,18834,550.0,19.0,561.0,692.7142857142858,717.5714285714287,11.571428571428573,11.571428571428573,11.510204081632654
2020-09-02,68517,2078,47865,49943,18574,595.0,20.0,549.0,673.5714285714286,707.5714285714287,12.0,11.785714285714285,11.571428571428573
2020-09-03,69129,2092,48593,50685,18444,612.0,14.0,585.6666666666666,634.2857142857142,696.5,11.857142857142858,11.928571428571427,11.551020408163268
2020-09-04,69820,2100,49820,51920,17900,691.0,8.0,632.6666666666666,620.0,681.3571428571429,11.714285714285715,11.571428571428573,11.59183673469388
2020-09-05,70387,2113,52346,54459,15928,567.0,13.0,623.3333333333334,592.5714285714286,657.5714285714286,11.571428571428573,11.571428571428573,11.59183673469388
2020-09-06,70824,2120,54256,56376,14448,437.0,7.0,565.0,564.8571428571429,647.2857142857142,12.428571428571427,11.785714285714285,11.775510204081636
2020-09-07,71126,2123,55113,57236,13890,302.0,3.0,435.33333333333326,536.2857142857143,629.7142857142858,12.0,11.642857142857142,11.877551020408163
2020-09-08,71526,2135,55910,58045,13481,400.0,12.0,379.66666666666674,514.8571428571429,603.7857142857142,11.0,11.285714285714285,11.79591836734694
